sample_id,Station,gene_id,taxonomy,length,mapped_counts,unmapped_counts,RPKM,RPKM_abund,assigned_tax
ERR1726613,22,000000458375__1602-1833,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,232,1,0,56715.06352087115,0.0319857470636286,
ERR1726613,22,000000766189__c8837-8120,Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta,718,1,0,18325.758686409616,0.0103352274634566,Diatoms
ERR1726613,22,000001468797__735-1452,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,2,0,36651.51737281923,0.0206704549269132,
ERR1726613,22,000001963451__156-873,Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta,718,1,0,18325.758686409616,0.0103352274634566,Diatoms
ERR1726613,22,000001998079__c380-104,Eukaryota;Haptista;Haptophyta,277,3,0,142504.27512825385,0.0803685196977817,Haptophytes
ERR1726613,22,000003161692__3-354,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,352,1,0,37380.382775119615,0.0210815151101188,
ERR1726613,22,000003993252__1023-1698,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,676,6,0,116786.04796013705,0.0658641418825015,
ERR1726613,22,000004331577__c1028-308,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,1,0,18249.50726330389,0.0102922237430816,
ERR1726613,22,000006708225__c2528-1811,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,000007006434__1968-2685,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,000007110335__c1029-312,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,000007434325__27-744,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,000008984842__c5417-4700,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,000009325248__3438-3929,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,492,1,0,26743.688489516477,0.0150827099974834,
ERR1726613,22,1165094.SAMEA2272692.RINTHH_8060__96-825,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae;Richelia;Richelia_intracellularis,730,1,0,18024.51333813987,0.0101653333133723,
ERR1726613,22,2653703159__114-834,Bacteria;Cyanobacteria;unclassified;Synechococcales;Synechococcaceae;unclassified,721,2,0,36499.01452660778,0.0205844474861632,
ERR1726613,22,2780755938__102-819,Bacteria;Cyanobacteria;unclassified;Synechococcales;Synechococcaceae;Cyanobium_sp_MED843,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,2792983275__102-819,Bacteria;Cyanobacteria;unclassified;Synechococcales;Synechococcaceae;Synechococcus_sp_MED650,718,2,0,36651.51737281923,0.0206704549269132,
ERR1726613,22,316278.SAMEA3138265.SynRCC307_2195__114-834,Bacteria;Cyanobacteria;;Synechococcales;Synechococcaceae;Synechococcus;Synechococcus_sp._RCC307,721,1,0,18249.50726330389,0.0102922237430816,
ERR1726613,22,637444406__102-819,Bacteria;Cyanobacteria;unclassified;Synechococcales;Synechococcaceae;Synechococcus_sp_WH_8102,718,1,0,18325.758686409616,0.0103352274634566,
ERR1726613,22,640547154__114-834,Bacteria;Cyanobacteria;unclassified;Synechococcales;Synechococcaceae;Synechococcus_sp_RCC307,721,2,0,36499.01452660778,0.0205844474861632,
ERR1726613,22,CAMNT_0042578107__c872-155,"Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Fragilariophyceae;Fragilariophycidae;Fragilariales;Fragilariaceae;Asterionellopsis;Asterionellopsis_glacialis,_Strain_CCMP1581",717,2,0,36702.63524921089,0.0206992840132826,Diatoms
ERR1726613,22,CK_Syn_BMK-MC-1_00467_V_V_2__93-810,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;Synechococcus_sp.,718,1,0,18325.758686409616,0.0103352274634566,
