BIMP01000001.1_cds_GCE64567.1_468__138-855 Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus;Synechococcus_symbiont_of_Ornithocercus_magnificus Reference=Nakayama_et_al_2019_PNAS_116_15973-15978 [locus_tag=OMCYN_00483] [protein=photosystem II manganese-stabilizing polypeptide] [protein_id=GCE64567.1] [location=complement(461303..462169)] [gbkey=CDS]
CK_Cya_NS01_02631_5.2_5.2B_1__93-810 Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Cyanobium;Cyanobium_sp. species=Cyanobium_sp. SubCluster=5.2 Clade=5.2 SubClade=5.2B Pigment.type=1 Reference=Doré_et_al._(2020) Database=Cyanorak-v2.1
CK_Cya_PCC6307_01884_5.2_5.2B_1__93-801 Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Cyanobium;Cyanobium_gracile species=Cyanobium_gracile SubCluster=5.2 Clade=5.2 SubClade=5.2B Pigment.type=1 Reference=Shih_et_al._(2013) Database=Cyanorak-v2.1
CK_Cya_PCC7001_00413_5.2_5.2B_1__93-801 Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Cyanobium;Cyanobium_sp. species=Cyanobium_sp. SubCluster=5.2 Clade=5.2 SubClade=5.2B Pigment.type=1 Reference=Shih_et_al._(2013) Database=Cyanorak-v2.1
CK_Pro_AS9601_02491_HLII_HLII_Lba__93-789 Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus species=Prochlorococcus_marinus SubCluster=HL Clade=HLII SubClade=HLII Pigment.type=Lba Reference=Kettler_et_al._(2007) Database=Cyanorak-v2.1
CK_Pro_EQPAC1_01972_HLI_HLI_Lba__93-789 Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus species=Prochlorococcus_marinus SubCluster=HL Clade=HLI SubClade=HLI Pigment.type=Lba Reference=Biller_et_al._(2014) Database=Cyanorak-v2.1
CK_Pro_GP2_00399_HLII_HLII_Lba__93-789 Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus species=Prochlorococcus_marinus SubCluster=HL Clade=HLII SubClade=HLII Pigment.type=Lba Reference=Biller_et_al._(2014) Database=Cyanorak-v2.1
CK_Pro_HNLC1_01296_HLIV_HLIV_Lba__93-789 Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus species=Prochlorococcus_marinus SubCluster=HL Clade=HLIV SubClade=HLIV Pigment.type=Lba Reference=Rusch_et_al._(2010) Database=Cyanorak-v2.1
CK_Pro_HNLC2_01269_HLIII_HLIII_Lba__51-747 Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus species=Prochlorococcus_marinus SubCluster=HL Clade=HLIII SubClade=HLIII Pigment.type=Lba Reference=Rusch_et_al._(2010) Database=Cyanorak-v2.1
CK_Pro_LG_01504_LLII_LLII_Hba__66-759 Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus_marinus species=Prochlorococcus_marinus SubCluster=LL Clade=LLII SubClade=LLII Pigment.type=Hba Reference=Biller_et_al._(2014) Database=Cyanorak-v2.1
