sample_id,Station,gene_id,taxonomy,length,mapped_counts,unmapped_counts,RPKM,RPKM_abund,assigned_tax
ERR538184,23,000000096802__c941-221,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,2,0,8158.603247124092,0.0044507498500857,
ERR538184,23,000000458375__1602-1833,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,232,1,0,12677.484787018257,0.0069159281075685,
ERR538184,23,000000766189__c8837-8120,Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta,718,1,0,4096.346059315091,0.0022346731489636,Diatoms
ERR538184,23,000001080398__582-774,Eukaryota;Haptista;Haptophyta,193,1,0,15239.256324291377,0.0083134472588389,Haptophytes
ERR538184,23,000001341251__261-978,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,2,0,8192.692118630182,0.0044693462979273,
ERR538184,23,000001468797__735-1452,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,718,18,0,73734.22906767164,0.0402241166813458,
ERR538184,23,000001998079__c380-104,Eukaryota;Haptista;Haptophyta,277,7,0,74325.75918454023,0.0405468131649507,Haptophytes
ERR538184,23,000002439306__474-1191,Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta,718,1,0,4096.346059315091,0.0022346731489636,Diatoms
ERR538184,23,000002968784__c688-1,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,688,2,0,8549.931600547196,0.0046642305841741,
ERR538184,23,000003161692__3-354,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,352,5,0,41778.07486631016,0.0227911267181236,
ERR538184,23,000003993252__1023-1698,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,676,9,0,39157.67490428124,0.0213616240955668,
ERR538184,23,000004210393__1458-2009,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,552,2,0,10656.436487638532,0.0058133888440431,
ERR538184,23,000004329367__2238-2814,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,577,1,0,5097.359567743909,0.0027807544557294,
ERR538184,23,000004331577__c1028-308,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus,721,2,0,8158.603247124092,0.0044507498500857,
